Partido_ID,Local,Visitante,Carreras_Local,Carreras_Visitante,Local_Bateo_Prom,Visita_Bateo_Prom,Local_Pitcher_ERA,Local_Pitcher_K,Visita_Pitcher_ERA,Visita_Pitcher_K,Target_Ganador
822733,Washington Nationals,New York Mets,1,2,6.29,7.14,4.71,4.7,2.77,5.7,0
822734,Washington Nationals,New York Mets,7,16,5.71,5.43,3.36,6.3,4.0,1.3,0
822735,Washington Nationals,New York Mets,8,4,6.29,7.0,2.54,5.0,2.21,1.3,1
822736,Washington Nationals,New York Mets,9,6,6.43,7.57,1.5,2.0,3.71,6.3,1
822737,Washington Nationals,Baltimore Orioles,13,3,4.86,3.0,4.14,5.3,3.33,5.3,1
822738,Washington Nationals,Baltimore Orioles,3,7,6.29,3.0,5.36,4.0,4.43,2.7,0
822739,Washington Nationals,Baltimore Orioles,3,2,5.43,3.14,0.0,5.0,6.06,0.7,1
822740,Washington Nationals,Minnesota Twins,15,2,3.86,4.71,1.49,5.0,4.02,2.7,1
822741,Washington Nationals,Minnesota Twins,7,5,6.0,4.86,3.55,6.0,7.44,2.0,1
822742,Washington Nationals,Milwaukee Brewers,3,2,4.14,6.57,12.27,2.0,12.27,2.0,1
822743,Washington Nationals,Minnesota Twins,3,11,3.71,4.71,3.0,8.3,4.71,5.0,0
822744,Washington Nationals,Milwaukee Brewers,1,6,4.71,5.71,3.35,7.7,2.96,6.0,0
822745,Washington Nationals,Atlanta Braves,2,7,6.14,6.14,1.9,3.7,1.9,3.7,0
822746,Washington Nationals,Milwaukee Brewers,1,4,4.57,6.0,3.48,6.0,2.06,5.3,0
822747,Washington Nationals,Atlanta Braves,11,4,4.43,5.86,2.96,4.7,0.0,1.0,1
822748,Washington Nationals,Atlanta Braves,6,8,5.29,5.86,2.81,2.3,7.71,4.3,0
822749,Washington Nationals,Atlanta Braves,4,9,4.57,6.43,1.1,6.0,7.07,4.7,0
822750,Washington Nationals,San Francisco Giants,3,0,5.29,4.0,14.12,2.3,2.21,6.7,1
822751,Washington Nationals,San Francisco Giants,6,7,4.86,3.86,5.29,3.3,1.76,3.0,0
822752,Washington Nationals,San Francisco Giants,5,10,5.14,3.14,3.46,4.5,3.6,4.5,0
822753,Washington Nationals,St. Louis Cardinals,1,6,6.17,4.0,6.43,4.0,24.15,4.0,0
822754,Washington Nationals,St. Louis Cardinals,6,7,6.2,3.25,1.5,3.0,1.5,2.0,0
822811,Toronto Blue Jays,Miami Marlins,8,1,3.14,3.71,4.0,4.0,0.0,4.3,1
822812,Toronto Blue Jays,Miami Marlins,2,8,3.71,4.29,10.56,4.3,1.12,6.7,0
822813,Toronto Blue Jays,Pittsburgh Pirates,1,4,4.14,3.29,2.84,9.3,6.59,3.3,0
822814,Toronto Blue Jays,Pittsburgh Pirates,5,2,3.71,4.29,5.45,1.7,2.14,8.0,1
822815,Toronto Blue Jays,Tampa Bay Rays,5,3,4.43,4.86,3.28,7.3,4.5,3.0,1
822816,Toronto Blue Jays,Pittsburgh Pirates,6,2,3.14,5.0,5.54,3.0,4.44,4.3,1
822817,Toronto Blue Jays,Tampa Bay Rays,6,7,3.71,4.57,3.75,3.0,0.0,5.3,0
822818,Toronto Blue Jays,Tampa Bay Rays,5,8,3.43,3.71,3.18,5.7,4.14,2.7,0
822819,Toronto Blue Jays,Los Angeles Angels,1,6,4.86,2.57,4.77,2.0,0.0,2.0,0
822820,Toronto Blue Jays,Los Angeles Angels,14,1,3.86,2.86,2.6,4.0,0.99,4.5,1
822821,Toronto Blue Jays,Boston Red Sox,8,1,3.57,4.71,9.47,2.7,7.75,3.3,1
822822,Toronto Blue Jays,Los Angeles Angels,2,0,3.71,3.14,4.71,8.0,5.26,6.0,1
822823,Toronto Blue Jays,Boston Red Sox,3,0,3.86,4.71,1.5,11.0,1.5,11.0,1
822824,Toronto Blue Jays,Cleveland Guardians,4,2,5.0,4.71,3.8,4.0,7.02,3.0,1
822825,Toronto Blue Jays,Boston Red Sox,0,5,5.29,5.14,1.69,8.7,1.98,4.7,0
822826,Toronto Blue Jays,Cleveland Guardians,5,3,4.71,4.86,3.51,6.3,3.91,4.7,1
822827,Toronto Blue Jays,Cleveland Guardians,6,8,4.0,4.29,2.09,7.7,2.09,7.7,0
822828,Toronto Blue Jays,Minnesota Twins,2,8,3.43,4.86,0.74,6.5,0.74,6.5,0
822829,Toronto Blue Jays,Minnesota Twins,10,4,2.14,4.86,1.45,4.0,1.45,4.0,1
822830,Toronto Blue Jays,Minnesota Twins,4,7,3.43,4.0,7.0,5.0,7.0,5.0,0
822831,Toronto Blue Jays,Los Angeles Dodgers,1,4,2.0,9.2,0.0,10.0,3.0,2.0,0
822833,Toronto Blue Jays,Los Angeles Dodgers,4,3,1.83,8.33,4.39,6.0,4.39,6.0,1
822898,Texas Rangers,Houston Astros,10,7,4.29,4.29,2.78,5.7,4.46,4.5,1
822899,Texas Rangers,Houston Astros,0,9,5.43,3.0,1.75,4.3,6.04,5.7,0
822900,Texas Rangers,Arizona Diamondbacks,6,5,3.57,2.14,3.55,3.7,4.39,5.0,1
822901,Texas Rangers,Arizona Diamondbacks,0,1,3.29,3.29,6.38,4.7,6.38,4.7,0
822902,Texas Rangers,Chicago Cubs,3,0,3.0,5.43,4.16,7.3,4.71,5.0,1
822903,Texas Rangers,Arizona Diamondbacks,7,4,3.14,2.86,4.77,4.7,7.38,3.7,1
