"FIFA Rank","Team","FIFA_Points","Confederation","Group"
"2","Spain","1874.71","UEFA","Group H"
"3","France","1870.7","UEFA","Group I"
"4","England","1828.02","UEFA","Group L"
"5","Portugal","1767.85","UEFA","Group K"
"8","Netherlands","1753.57","UEFA","Group F"
"9","Belgium","1742.24","UEFA","Group G"
"10","Germany","1735.77","UEFA","Group E"
"11","Croatia","1714.87","UEFA","Group L"
"19","Switzerland","1650.06","UEFA","Group B"
"22","Türkiye","1605.73","UEFA","Group D"
"24","Austria","1597.4","UEFA","Group J"
"38","Sweden","1509.79","UEFA","Group F"
"40","Czechia","1505.74","UEFA","Group A"
"42","Scotland","1503.34","UEFA","Group A"
"64","Bosnia and Herzegovina","1387.22","UEFA","Group B"
"1","Argentina","1877.27","CONMEBOL","Group J"
"6","Brazil","1765.86","CONMEBOL","Group C"
"13","Colombia","1698.35","CONMEBOL","Group K"
"16","Uruguay","1673.07","CONMEBOL","Group H"
"23","Ecuador","1598.52","CONMEBOL","Group E"
"41","Paraguay","1505.35","CONMEBOL","Group D"
"14","Mexico","1687.48","CONCACAF","Group A"
"17","USA","1671.23","CONCACAF","Group D"
"30","Canada","1559.48","CONCACAF","Group B"
"34","Panama","1539.16","CONCACAF","Group L"
"67","Curaçao","1294.77","CONCACAF","Group A"
"83","Haiti","1293.1","CONCACAF","Group C"
"7","Morocco","1755.1","CAF","Group C"
"15","Senegal","1684.07","CAF","Group I"
"28","Algeria","1571.03","CAF","Group K"
"29","Egypt","1562.37","CAF","Group G"
"33","Ivory coast","1540.87","CAF","Group E"
"46","DR Congo","1474.43","CAF","Group K"
"60","South Africa","1428.38","CAF","Group A"
"67","Cape Verde","1371.11","CAF","Group H"
"73","Ghana","1346.88","CAF","Group L"
"18","Japan","1661.58","AFC","Group F"
"20","IR Iran","1619.58","AFC","Group G"
"25","South Korea","1591.63","AFC","Group A"
"27","Australia","1579.34","AFC","Group D"
"50","Uzbekistan","1458.73","AFC","Group K"
"56","Qatar","1450.31","AFC","Group B"
"57","Iraq","1446.28","AFC","Group I"
"61","Saudi Arabia","1423.88","AFC","Group H"
"63","Jordan","1387.74","AFC","Group J"
"85","New Zealand","1275.58","OFC","Group F"
