"Date","Home","Away","HG","AG","HS","AS","HST","AST","HC","AC","HY","AY","HR","AR","HxG","AxG"
"2025-09-06","Mexico","Japan","0","0","11","12","4","5","5","4","2","1","0","0","0.9","1"
"2025-09-09","Mexico","South Korea","2","2","13","11","5","4","6","5","3","2","0","0","1.8","1.6"
"2025-10-11","Mexico","Colombia","0","4","8","18","2","8","4","7","2","1","0","0","0.7","3.1"
"2025-10-14","Mexico","Ecuador","1","1","12","10","4","4","6","4","2","2","0","0","1.1","1"
"2025-11-15","Mexico","Uruguay","0","0","10","11","3","3","5","5","1","2","0","0","0.8","0.9"
"2025-11-18","Mexico","Paraguay","1","2","11","13","4","5","5","6","2","2","0","0","1","1.7"
"2026-01-22","Panama","Mexico","0","1","7","14","2","5","3","6","2","1","0","0","0.5","1.2"
"2026-01-25","Bolivia","Mexico","0","1","8","15","2","5","3","5","1","2","0","0","0.5","1.1"
"2026-02-26","Mexico","Iceland","4","0","18","6","8","2","8","3","2","1","0","0","2.9","0.3"
"2026-03-28","Mexico","Portugal","0","0","9","14","3","5","4","6","2","1","0","0","0.8","1.4"
"2025-09-06","USA","South Korea","0","2","17","5","5","4","7","2","2","1","0","0","1.2","1.8"
"2025-09-09","USA","Japan","2","0","15","8","6","3","6","3","1","2","0","0","1.9","0.6"
"2025-10-10","USA","Ecuador","1","1","13","10","5","4","5","4","2","2","0","0","1.2","1"
"2025-10-14","USA","Australia","2","1","14","10","6","4","6","4","2","2","0","0","1.7","0.9"
"2025-11-15","USA","Paraguay","2","1","16","10","7","4","7","4","2","2","0","0","1.8","0.8"
"2025-11-18","USA","Uruguay","5","1","22","9","9","3","10","3","2","2","0","0","3.4","0.9"
"2026-01-20","USA","Slovenia","0","1","11","12","4","4","5","5","2","2","0","0","0.8","1.1"
"2026-03-20","Panama","USA","1","0","12","14","5","5","5","6","4","3","1","0","0.9","1.3"
"2026-03-28","USA","Belgium","2","5","14","17","5","8","6","7","3","1","0","0","1.5","3.8"
"2026-03-31","USA","Portugal","0","2","10","14","3","6","4","5","2","2","0","0","0.9","1.9"
"2025-09-05","Romania","Canada","0","3","8","16","2","7","3","6","1","2","0","0","0.5","2.3"
"2025-09-09","Wales","Canada","0","1","9","13","3","5","4","5","2","3","1","2","0.7","1"
"2025-10-10","Canada","Australia","0","1","12","10","3","4","5","4","2","2","0","0","0.8","1"
"2025-10-15","Canada","Colombia","0","0","11","11","3","3","5","5","2","2","0","0","0.9","0.8"
"2025-11-14","Canada","Ecuador","0","0","10","12","3","4","4","5","2","1","0","0","0.7","0.9"
"2025-11-19","Venezuela","Canada","0","2","9","15","3","6","4","6","2","2","0","0","0.6","1.8"
"2026-01-18","Canada","Guatemala","1","0","16","5","5","1","7","2","1","2","0","0","1.4","0.3"
"2026-03-23","Canada","USA","2","1","14","12","6","5","6","5","2","2","1","0","1.7","1.2"
"2026-03-28","Canada","Iceland","2","2","14","12","5","5","6","5","2","2","0","0","1.6","1.5"
"2026-03-31","Canada","Tunisia","0","0","10","11","3","3","5","4","1","2","0","0","0.8","0.7"
