Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
Lg,gr  AEK Athens,0,0,0,0,0,0,0,0,D D W W D,,,,
Lg,eng  Arsenal,0,0,0,0,0,0,0,0,W D W W W,,,,
Lg,eng  Aston Villa,0,0,0,0,0,0,0,0,W W L L L,,,,
Lg,es  Atlético Madrid,0,0,0,0,0,0,0,0,W L W D W,,,,
Lg,es  Barcelona,0,0,0,0,0,0,0,0,W L W W W,,,,
Lg,de  Bayern Munich,0,0,0,0,0,0,0,0,W W W W W,,,,
Lg,no  Bodø/Glimt,0,0,0,0,0,0,0,0,W W W W W,,,,
Lg,be  Club Brugge,0,0,0,0,0,0,0,0,W W W L W,,,,
Lg,it  Como,0,0,0,0,0,0,0,0,W W D W W,,,,
Lg,de  Dortmund,0,0,0,0,0,0,0,0,W W L W W,,,,
Lg,tr  Fenerbahçe,0,0,0,0,0,0,0,0,L D W W W,,,,
Lg,nl  Feyenoord,0,0,0,0,0,0,0,0,W W D W D,,,,
Lg,tr  Galatasaray,0,0,0,0,0,0,0,0,L D W W W,,,,
Lg,it  Inter,0,0,0,0,0,0,0,0,W D D W W,,,,
Lg,at  LASK,0,0,0,0,0,0,0,0,W L W W W,,,,
Lg,fr  Lens,0,0,0,0,0,0,0,0,W W W W L,,,,
Lg,fr  Lille,0,0,0,0,0,0,0,0,W L W D W,,,,
Lg,eng  Liverpool,0,0,0,0,0,0,0,0,L D D D W,,,,
Lg,eng  Manchester City,0,0,0,0,0,0,0,0,D L L W W,,,,
Lg,eng  Manchester Utd,0,0,0,0,0,0,0,0,D W W L W,,,,
Lg,it  Napoli,0,0,0,0,0,0,0,0,L W W W L,,,,
Lg,pt  Porto,0,0,0,0,0,0,0,0,W W W W W,,,,
Lg,fr  PSG,0,0,0,0,0,0,0,0,W L D D L,,,,
Lg,nl  PSV,0,0,0,0,0,0,0,0,W D W W W,,,,
Lg,de  RB Leipzig,0,0,0,0,0,0,0,0,L W L W W,,,,
Lg,es  Real Betis,0,0,0,0,0,0,0,0,W W W L W,,,,
Lg,es  Real Madrid,0,0,0,0,0,0,0,0,W W W W L,,,,
Lg,it  Roma,0,0,0,0,0,0,0,0,W W W W W,,,,
Lg,az  Sabah FK,0,0,0,0,0,0,0,0,W L W L W,,,,
Lg,ua  Shakhtar D.,0,0,0,0,0,0,0,0,L W W W L,,,,
Lg,cz  Slavia Prague,0,0,0,0,0,0,0,0,W W D D W,,,,
Lg,sk  Slovan Bratislava,0,0,0,0,0,0,0,0,D W W D W,,,,
Lg,pt  Sporting CP,0,0,0,0,0,0,0,0,W D W W W,,,,
Lg,de  Stuttgart,0,0,0,0,0,0,0,0,D L W L W,,,,
Lg,no  Viking,0,0,0,0,0,0,0,0,L D W W D,,,,
Lg,es  Villarreal,0,0,0,0,0,0,0,0,L W D D L,,,,
